,위      치,아파트명,동수,층수,세대수,인구수,건축 연도,lat,lng,연식,score
695,중앙대로46길29,효동 아파트,1,8,28,68,2004,35.852158700000004,128.5928969,16,20
696,중앙대로46길43,영선상가,4,3,62,295,1976,35.852230299999995,128.59373,44,40
697,중앙대로47길35,경일 제2맨션,1,5,16,33,1979,35.8540199,128.58850990000002,41,40
698,큰골길198,보성청록,3,14,347,1036,1998,35.83431029999999,128.5860145,22,30
699,현충로107,앞산클래식명가,1,15,52,130,2006,35.8424956,128.57961550000002,14,20
700,현충로127,서동해피플러스,1,13,28,94,2007,35.844224600000004,128.5797465,13,20
701,현충로133,아크로 파트,1,13,33,31,2003,35.8448015,128.579733,17,20
702,현충로190,경일,1,7,48,159,1977,35.8496846,128.5812708,43,40
703,현충로202,다채움,1,10,16,56,2016,35.85055620000001,128.5816348,4,10
704,현충로245,더테라스,1,10,25,88,2017,35.85438389999999,128.5827975,3,10
705,현충로23길88,사랑채 아파트,1,7,13,45,2007,35.8430703,128.57499579999998,13,20
706,현충로25길55,유성,1,5,31,110,1981,35.8442899,128.57666840000002,39,40
707,봉덕로135,강변효성백년가약,5,22,337,1023,2012,35.844966,128.5973705,8,10
708,봉덕로1길145,한일빌라,1,6,20,76,1989,35.8510064,128.5926116,31,40
709,봉덕로6길10-16,하나로  프린스빌,1,8,13,53,2002,35.844801700000005,128.5920816,18,20
710,봉덕로6길16,대성,2,5,30,126,1980,35.8444602,128.5924145,40,40
711,봉덕로6길31,위너스 타운,1,5,10,40,2001,35.843712,128.5924444,19,20
712,봉덕로11길14-4,봉덕 비젼파크,1,8,19,53,2004,35.8455285,128.596193,16,20
713,봉덕로21길53-16,봉덕한라하우젠트퍼스트,4,20,186,735,2018,35.8469497,128.5996875,2,10
714,봉덕초등길3,그랜드 타운,1,10,18,48,2004,35.838300399999994,128.5984623,16,20
715,삼정2길99,앞산보성,8,5,360,1190,1984,35.8355541,128.595908,36,40
716,삼정4길93-5,리치빌,1,5,18,32,2004,35.835914700000004,128.5948149,16,20
717,성당로64,흥아,1,5,20,192,1980,35.8426522,128.5620013,40,40
718,성당로138,골든뷰 파크,1,10,24,84,2016,35.8472677,128.56779709999998,4,10
719,성당로142,대명동이파크주상복합,1,16,52,36,2005,35.8475014,128.5683146,15,20
720,성당로240,현대 까멜리아,1,14,36,120,2003,35.854170700000005,128.5742954,17,20
721,성당로28길17,성명상가,1,4,42,221,1977,35.8469754,128.5688168,43,40
722,신촌길94,앞산서한이다음,2,20,128,488,2018,35.8385097,128.60207830000002,2,10
723,안지랑로73,앞산리슈빌앤리마크1단지,9,7,299,895,2018,35.8380567,128.5757544,2,10
724,안지랑로74,앞산리슈빌앤리마크2단지,4,7,110,325,2018,35.8380349,128.5717095,2,10
725,앞산순환로337,삼성공원,1,5,40,152,1983,35.8302266,128.5637376,37,40
726,앞산순환로655,대덕2차,6,15,550,1890,1991,35.833991299999994,128.59516029999997,29,30
727,앞산순환로659,대덕1차,6,15,528,1875,1990,35.8337281,128.597351,30,0
728,앞산순환로675,미리내,6,10,408,1367,1983,35.8339375,128.5994611,37,40
729,앞산순환로721,효성 하이츠,1,6,14,56,1994,35.834589,128.60309650000002,26,30
730,양지남길28,강남골든하이츠,1,8,14,56,2002,35.8504328,128.5750733,18,20
731,현충로25길71,정우맨션,7,12,441,1525,1980,35.8442232,128.5757159,40,40
732,현충로26길64,새한,4,5,90,311,1979,35.843795799999995,128.5836112,41,40
733,현충로26길67,세광그린타운,1,20,114,364,1997,35.844303700000005,128.5837024,23,30
734,현충로27길20,호창 프레시앙,1,9,16,64,2015,35.8452244,128.5789523,5,10
735,현충로29길29,로얄 하이츠,1,5,20,82,1982,35.8456805,128.5787486,38,40
736,현충로31길48,동아,1,5,30,120,1980,35.8470871,128.57733290000002,40,40
737,현충서길29,동아대덕,1,15,210,781,1992,35.84518449999999,128.5776922,28,30
738,효동길54,반도,3,5,135,514,1981,35.8380218,128.5995538,39,40
739,효성2길7,태성맨션,2,15,198,693,1995,35.8366018,128.60010590000002,25,30
740,효성중앙길2,해피 그린타운,1,5,27,106,1989,35.8352097,128.6006506,31,40
741,효성중앙길37,효성타운,16,15,1162,4215,1988,35.8373137,128.60256370000002,32,40
742,효성중앙길81,삼성래미안웰리스트,7,28,471,954,2010,35.8370519,128.604625,10,20
743,효성중앙길166,앞산힐스테이트,4,22,425,992,2008,35.8358992,128.6026446,12,20
744,희망로57,이천주공 2단지,4,20,320,1065,2002,35.8481189,128.6050378,18,20
745,희망로5길12,희망교대성유니드,6,23,635,2540,2006,35.848538,128.6018128,14,20
746, 검단로 28,복현건영,4,20,386,1544,1998,35.8997646,128.6164917,22,30
747, 검단로34,복현 청구타운,6,19,438,1454,1996,35.9006787,128.6168111,24,30
748, 검단로50,복현 서한타운,6,20,454,1689,1996,35.9025217,128.617201,24,30
749, 검단로 64,복현 보성타운,3,20,419,1381,1996,35.903374799999995,128.6172774,24,30
750, 검단로 115,유성청구,6,15,1493,6123,1992,35.9077776,128.6199173,28,30
751, 검단로116-10,영도파라다이스,1,5,49,147,2000,35.906180600000006,128.6204245,20,30
752, 검단로 255,민들레 아파트,3,15,702,2658,1991,35.915797,128.6288427,29,30
753, 경대로5길 25,대현신화맨션,1,20,173,721,1994,35.8844596,128.6111631,26,30
754, 경대로7길 60,성지 무궁화,1,10,67,232,1992,35.8861481,128.6079098,28,30
755, 경대로27길 7,선진아파트 102동,1,6,10,9,2003,35.8920293,128.6200482,17,20
756, 경대로27길17,미 광 (A동),1,5,40,137,1981,35.8928049,128.61889779999998,39,40
757, 경대로27길17,미 광 (B동),1,5,51,365,1981,35.8928049,128.61889779999998,39,40
758, 경대로27길20,복현 센스빌,1,8,19,44,2001,35.8929713,128.6193167,19,20
