,지역,0∼4세,5∼9세,10∼14세,15∼19세,20∼24세,25∼29세,30∼34세,35∼39세,40∼44세,45∼49세,50∼54세,55∼59세,60∼64세,65∼69세,70∼74세,75∼79세,80∼84세,85∼89세,90∼94세,95∼99세,100세이상,lat,lng,지수,유아노인
95,황금1동,632,1475,2060,2257,1739,1004,742,1320,2115,2876,2439,1756,1443,915,702,474,359,196,81,11,6,35.8439394,128.6380813,65.85,4851
96,황금2동,213,368,371,536,817,981,693,713,789,1013,1025,926,821,668,516,449,265,119,47,8,1,35.8415234,128.6251656,217.75,2654
97,중동,366,404,399,419,670,828,726,863,913,1013,1037,1005,962,741,563,474,329,155,53,7,3,29.2985278,42.5509603,198.89,3095
98,상동,424,647,647,699,1013,1107,938,1167,1126,1399,1414,1505,1453,1114,827,674,422,252,86,20,7,37.5003271,126.7498232,198.02,4473
99,파동,486,581,487,512,615,656,716,918,978,995,986,1078,1188,941,742,577,371,179,61,17,8,35.81547,128.61511,186.36,3963
100,두산동,443,522,508,690,1058,1186,883,992,1104,1259,1467,1279,1091,682,468,343,219,118,34,12,4,35.8294408,128.6205833,127.63,2845
101,지산1동,456,642,770,1241,1721,1603,1124,1219,1369,1949,2175,2128,1963,1444,1109,952,608,343,114,19,5,35.1483152,126.9441243,245.93,5692
102,지산2동,433,712,851,1060,1385,1211,926,1109,1206,1739,1855,1816,1642,1240,779,642,482,301,86,13,2,35.8203328,128.6324473,177.61,4690
103,범물1동,162,239,266,471,753,683,449,523,584,819,992,1260,1309,1041,782,671,479,259,85,14,4,35.8177206,128.6459143,500,3736
104,범물2동,406,711,844,988,1102,852,689,873,1216,1413,1450,1443,1401,945,560,412,281,136,54,11,3,35.8110617,128.6545248,122.49,3519
105,고산1동,739,1623,2209,2655,2597,1895,1256,1644,2398,3404,3145,2772,2029,1190,794,709,521,256,86,17,4,35.8371086,128.7123515,78.25,5939
106,고산2동,810,1261,1519,1920,2140,1751,1338,1667,2012,2682,2748,2407,2017,1301,923,692,561,284,98,21,5,35.8433575,128.6950479,108.22,5956
107,고산3동,1018,1634,1971,2418,2789,2176,1557,2024,2464,3399,3653,3113,2117,1339,896,868,672,341,94,16,7,35.8441076,128.7065188,91.56,6885
